,0
사랑인가 봐,멜로망스(MeloMance)
듣고 싶을까,MSG워너비(M.O.M)
INVU,태연 (TAEYEON)
RUN2U,STAYC(스테이씨)
SMILEY (Feat. BIBI),YENA (최예나)
abcdefu,GAYLE
어제처럼,폴킴(Paul Kim)
존재만으로,원슈타인
취중고백,김민석 (멜로망스)
ELEVEN,IVE (아이브)
"손을 잡는다거나, 같이 걷는다거나",적재
Stronger (What Doesn't Kill You),Kelly Clarkson(켈리 클락슨)
Dreams Come True,aespa
Step Back,GOT the beat
O.O,NMIXX
사랑은 늘 도망가,임영웅
서랍,10CM
드라마,아이유(IU)
Can't Control Myself,태연 (TAEYEON)
그런 밤 (Some Nights),태연 (TAEYEON)
언제나 사랑해,케이시
그래서 그래 (Feat. 윤하),에픽하이 (EPIK HIGH)
SMF (Prod. Czaer),창모(CHANGMO)
Next Level,aespa
우리가 헤어져야 했던 이유,비비(BIBI)
낙하 (with 아이유),AKMU(악뮤)
strawberry moon,아이유(IU)
Weekend,태연 (TAEYEON)
"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo
Starlight,태일 (TAEIL)
노래 (The Song),비투비
신호등,이무진
호랑수월가,탑현
다정히 내 이름을 부르면,"경서예지


경서예지"
STAY,"The Kid LAROI


The Kid LAROI"
Dynamite,방탄소년단
BOP BOP!,VIVIZ (비비지)
새벽을 믿지 말자,"개코


개코"
BROKEN FERRARI,호미들
Christmas Tree,V
눈이 오잖아(Feat.헤이즈),이무진
Counting Stars (Feat. Beenzino),BE'O (비오)
리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오)
Savage,aespa
"[19금]
Peaches (feat. Daniel Caesar, Giveon)",Justin Bieber(저스틴 비버)
Butter,방탄소년단
도베르만,하현우(국카스텐)
Light Switch,Charlie Puth(찰리 푸스)
DM,프로미스나인
Permission to Dance,방탄소년단
라일락,아이유(IU)
바라만 본다,MSG워너비(M.O.M)
여름비,샘김(Sam Kim)
Celebrity,아이유(IU)
Blueming,아이유(IU)
겨울잠,아이유(IU)
대낮에 한 이별,"선예


선예"
"아주, 천천히",비비(BIBI)
"너, 너 (N번째 연애 X 휘인 (Whee In))",휘인(Whee In)
My Universe,"Coldplay(콜드플레이)


Coldplay(콜드플레이)"
문득,BE'O (비오)
우리 사랑했던 날 (feat. 김재원),최슬픔(Seulpeum)
너를 생각해,주시크 (Joosiq)
그대 떠나가도,2am
너의 모든 순간,성시경
내 생에 아름다운,이예준
"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
어른아이 (Toddler),태연 (TAEYEON)
에잇(Prod.&Feat. SUGA of BTS),아이유(IU)
이별후회,김나영
잊을 수 있을까,노을
Queendom,Red Velvet (레드벨벳)
Bad Habits,Ed Sheeran(에드 시런)
낮 밤 (feat. 박재범),이영지
Stardust love song,지효 (TWICE)
너 아니면 안돼,먼데이 키즈(Monday Kiz)
Cold As Hell,태연 (TAEYEON)
Off My Face,Justin Bieber(저스틴 비버)
만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),베이식(Basick)
어른,Sondia
OHAYO MY NIGHT,"디핵(D-Hack)


디핵(D-Hack)"
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU(악뮤)
Tiny Riot,Sam Ryder
WA DA DA,Kep1er (케플러)
Unstoppable,Sia(시아)
어푸 (Ah puh),아이유(IU)
Bad,Christopher(크리스토퍼)
Polaroid Love,ENHYPEN
METEOR,창모(CHANGMO)
너무 아픈 사랑은 사랑이 아니었음을,김기태
Timeless,태연 (TAEYEON)
선물,멜로망스(MeloMance)
Please Don't Suck,Noa Kirel
Better Days (feat. Polo G),"Neiked


Neiked"
Psycho,Red Velvet (레드벨벳)
아로하,조정석
Siren,태연 (TAEYEON)
나의 첫사랑,다비치
Go!,도겸 (SEVENTEEN)
Ruby (Feat. Gist),제네 더 질라(Zene The Zilla)
